+------+------------------------------------------+----------------+
| Rank | Team                                     | Score          |
+------+------------------------------------------+----------------+
| 1    | All your sound are belong to us          | 136841439993.0 |
| 2    | Unagi                                    | 132037417965.0 |
| 3    | is_topcoder_dead                         | 131472977027.0 |
| 4    | manarimo                                 | 130667797435.0 |
| 5    | Spica                                    | 130083292906.0 |
| 6    | TBD                                      | 129288211999.0 |
| 7    | ichyo                                    | 128946544787.0 |
| 8    | mintokukai                               | 128567288553.0 |
| 9    | カフェテリアルネ                         | 126833067785.0 |
| 10   | Frictionless Bananas                     | 125945946885.0 |
| 11   | Pigimarl                                 | 124531475872.0 |
| 12   | WILD BASHKORT MAGES                      | 124259024595.0 |
| 13   | tomerun                                  | 123653805983.0 |
| 14   | siman                                    | 122463014308.0 |
| 15   | chirijako                                | 122281387956.0 |
| 16   | DiamondPrincess                          | 121603840031.0 |
| 17   | senasur                                  | 121583826776.0 |
| 18   | The Cat is #1!!                          | 121144850161.0 |
| 19   | Snakes, Monkeys, and Two Smoking Lambdas | 120362987393.0 |
| 20   | negainoido                               | 117795011118.0 |
| 21   | sonna*baka*na                            | 117273124063.0 |
| 22   | levsimonov                               | 116971447539.0 |
| 23   | nekokoneko                               | 116647469556.0 |
| 24   | CowDay                                   | 116532714594.0 |
| 25   | pegovka                                  | 116419749141.0 |
| 26   | 夏合宿                                   | 116316622646.0 |
| 27   | olegfedko                                | 115539186038.0 |
| 28   | ZebraInfusedHamsters                     | 115538071519.0 |
| 29   | ecto-sosuupoyo                           | 115524189964.0 |
| 30   | perpetuum_mobile                         | 114959691959.0 |
| 31   | fixstars                                 | 114408198234.0 |
| 32   | theblindhen                              | 113848306896.0 |
| 33   | *uni*                                    | 113662269395.0 |
| 34   | Gon The Fox in the shell                 | 113368023393.0 |
| 35   | Piggypack                                | 113351022352.0 |
| 36   | yorofuwa                                 | 112744630030.0 |
| 37   | cashto                                   | 112146799473.0 |
| 38   | *REDACTED*                               | 111899317570.0 |
| 39   | InvisibleImp                             | 111438784240.0 |
| 40   | Team Sampou                              | 109887337583.0 |
| 41   | iehn                                     | 109405196534.0 |
| 42   | udfew                                    | 108745540292.0 |
| 43   | tratata                                  | 108537036617.0 |
| 44   | TyChyoPyos                               | 108299859097.0 |
| 45   | camel_case                               | 107618329559.0 |
| 46   | kretino                                  | 104487127423.0 |
| 47   | functorfans                              | 100870307255.0 |
| 48   | DNIWE :: a                               | 99642168182.0  |
| 49   | omgicfpftw                               | 97813792752.0  |
| 50   | seλf recursive srs                       | 97640384787.0  |
| 51   | codingteam                               | 97433577912.0  |
| 52   | tumdum                                   | 95490906638.0  |
| 53   | bottlekids                               | 93871429690.0  |
| 54   | Yurufuwa                                 | 92276489622.0  |
| 55   | hayato                                   | 91934500343.0  |
| 56   | xlerb                                    | 90742175805.0  |
| 57   | sanityinc                                | 90432477859.0  |
| 58   | Turing Machinists                        | 89393999898.0  |
| 59   | jcazevedo                                | 88820734418.0  |
| 60   | sanma                                    | 88539959231.0  |
| 61   | Dare Ludum                               | 88163042793.0  |
| 62   | killswitch                               | 87138011299.0  |
| 63   | Sunspear                                 | 86015897151.0  |
| 64   | albatross                                | 83345413583.0  |
| 65   | koorogi                                  | 82991029817.0  |
| 66   | poka                                     | 82460130714.0  |
| 67   | powder                                   | 81285319598.0  |
| 68   | YurkovAS                                 | 78524268604.0  |
| 69   | AStormOfMinds                            | 75965006087.0  |
| 70   | igusarov                                 | 74153487246.0  |
| 71   | yupiteru                                 | 73899788408.0  |
| 72   | code-o-matic                             | 71715883304.0  |
| 73   | FIRQ                                     | 71064569799.0  |
| 74   | AOKI Taichi                              | 68247569799.0  |
| 75   | uguu.org                                 | 63575298140.0  |
| 76   | TeamDev                                  | 60546756946.0  |
| 77   | Raging Mushrooms                         | 58773455544.0  |
| 78   | zeuxis                                   | 58079145030.0  |
| 79   | R22b                                     | 57326963622.0  |
| 80   | UA_paiv                                  | 55850506349.0  |
| 81   | Thelamon                                 | 55338485173.0  |
| 82   | LILiK                                    | 53622016363.0  |
| 83   | Rick Zapor                               | 51938606381.0  |
| 84   | TSG                                      | 51867049607.0  |
| 85   | maddenvvs                                | 50424815751.0  |
| 86   | taxidriver                               | 50404956173.0  |
| 87   | IKS                                      | 45555895665.0  |
| 88   | Ms. Bubble's 🐶                          | 44542553856.0  |
| 89   | Free Tacos!                              | 42966819105.0  |
| 90   | BlazinglyFastBerries                     | 40176962292.0  |
| 91   | JKRT                                     | 39442480909.0  |
| 92   | Task Manager (Not Responding)            | 39159797044.0  |
| 93   | nickgard                                 | 38481998204.0  |
| 94   | cvnm                                     | 37233675020.0  |
| 95   | Lambda Quakens                           | 36703229251.0  |
| 96   | papier                                   | 33919553265.0  |
| 97   | '); CREATE TABLE fun(); --               | 32657667869.0  |
| 98   | mnuyav                                   | 30695373362.0  |
| 99   | DalvP                                    | 26888115605.0  |
| 100  | O Caml, My Caml                          | 26541787651.0  |
